Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA
385,Richarlison\fa031b34,br BRA,FW,Everton,22,1997,36,36,3070,34.1,13,3,13,0,0,8,0,0.38,0.09,0.47,0.38,0.47,9.1,9.1,4.8,13.9
386,Diego Rico\d9ba39fc,es ESP,DF,Bournemouth,26,1993,27,27,2332,25.9,0,4,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,2.9,3.2
387,Jaïro Riedewald\7a1f2c08,nl NED,DFMF,Crystal Palace,22,1996,17,7,769,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.5
388,Matt Ritchie\71ef519e,sct SCO,DFMF,Newcastle Utd,29,1989,18,14,1315,14.6,2,1,2,0,1,4,0,0.14,0.07,0.21,0.14,0.21,1.6,0.8,2.3,3.1
389,Roberto\ba3ca78f,es ESP,GK,West Ham,33,1986,8,7,687,7.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
390,Patrick Roberts\59d93937,eng ENG,FWMF,Norwich City,22,1997,3,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
391,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,25,1994,36,34,3111,34.6,2,12,2,0,0,2,0,0.06,0.35,0.41,0.06,0.41,1.6,1.6,7.6,9.2
392,Callum Robinson\e75750a3,ie IRL,FWMF,Sheffield Utd,24,1995,16,9,676,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,2.1,2.1,0.6,2.7
393,Jack Robinson\7399c7a8,eng ENG,DF,Sheffield Utd,25,1993,6,6,504,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2
394,Rodri\6434f10d,es ESP,MF,Manchester City,23,1996,35,29,2486,27.6,3,2,3,0,0,8,0,0.11,0.07,0.18,0.11,0.18,1.0,1.0,1.5,2.5
395,Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,30,1989,36,20,2016,22.4,8,1,7,1,1,1,0,0.36,0.04,0.40,0.31,0.36,8.0,7.2,0.9,8.1
396,Jack Rodwell\a07579ee,eng ENG,MF,Sheffield Utd,28,1991,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
397,Marcos Rojo\e0991c04,ar ARG,DF,Manchester Utd,29,1990,3,1,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1
398,Oriol Romeu\4b511457,es ESP,MF,Southampton,27,1991,30,20,1860,20.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.3,1.6
399,Danny Rose\89d10e53,eng ENG,DF,Tottenham,29,1990,12,10,893,9.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9
400,Danny Rose\89d10e53,eng ENG,DF,Newcastle Utd,29,1990,11,10,863,9.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2
401,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,26,1993,20,19,1710,19.0,2,0,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.6,0.6,0.3,0.9
402,Lukas Rupp\3faa1780,de GER,FWMF,Norwich City,28,1991,12,8,695,7.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1
403,Mathew Ryan\4535e4bb,au AUS,GK,Brighton,27,1992,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
404,Allan Saint-Maximin\2b16cb1a,fr FRA,MFFW,Newcastle Utd,22,1997,26,23,1863,20.7,3,4,3,0,0,0,0,0.14,0.19,0.34,0.14,0.34,3.2,3.2,3.5,6.7
405,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,29,1990,33,31,2705,30.1,2,1,2,0,0,12,1,0.07,0.03,0.10,0.07,0.10,2.7,2.7,0.5,3.2
406,Bukayo Saka\bc7dc64d,eng ENG,DFFW,Arsenal,17,2001,26,19,1753,19.5,1,5,1,0,0,6,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.5,4.9
407,Mamadou Sakho\87935cf3,fr FRA,DF,Crystal Palace,29,1990,14,11,931,10.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1
408,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,27,1992,34,33,2876,32.0,19,10,16,3,3,1,0,0.59,0.31,0.91,0.50,0.81,19.4,17.2,7.3,24.4
409,Mbwana Samatta\dae8623e,tz TAN,FW,Aston Villa,26,1992,14,11,943,10.5,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,1.9,1.9,0.2,2.2
410,Carlos Sánchez\50b51fac,co COL,MFDF,West Ham,33,1986,6,1,117,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
411,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,23,1996,29,27,2431,27.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6
412,Leroy Sané\2b114be3,de GER,FW,Manchester City,23,1996,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1
413,Ismaila Sarr\bfdb33aa,sn SEN,FWMF,Watford,21,1998,28,22,2028,22.5,5,4,5,0,0,1,0,0.22,0.18,0.40,0.22,0.40,5.7,5.7,3.2,8.9
414,Fabian Schär\c8aa95da,ch SUI,DFMF,Newcastle Utd,27,1991,22,18,1672,18.6,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,0.2,1.2
415,Ezequiel Schelotto\a6e316c1,it ITA,DF,Brighton,30,1989,8,4,361,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3
416,Jeffrey Schlupp\3312f911,gh GHA,MF,Crystal Palace,26,1992,17,11,1036,11.5,3,1,3,0,0,2,0,0.26,0.09,0.35,0.26,0.35,1.7,1.7,1.1,2.8
417,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,32,1986,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5
418,Morgan Schneiderlin\51b41c5c,fr FRA,MF,Everton,29,1989,15,12,1001,11.1,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5
419,Ryan Sessegnon\6aa3e78b,eng ENG,DF,Tottenham,19,2000,6,4,342,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2
420,Xherdan Shaqiri\6421ec64,ch SUI,FWMF,Liverpool,27,1991,7,2,185,2.1,1,0,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,0.6,0.6,0.2,0.8
421,Billy Sharp\e8c9f4e9,eng ENG,FW,Sheffield Utd,33,1986,25,10,1051,11.7,3,2,3,0,0,1,1,0.26,0.17,0.43,0.26,0.43,2.7,2.7,2.7,5.4
422,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,24,1995,24,20,1733,19.3,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.5,2.0
423,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,27,1992,26,25,2119,23.5,6,2,6,0,0,3,0,0.25,0.08,0.34,0.25,0.34,2.5,2.5,3.6,6.0
424,Djibril Sidibé\4c5b714f,fr FRA,DF,Everton,27,1992,25,18,1824,20.3,0,4,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,0.4,0.4,2.0,2.4
425,Gylfi Sigurðsson\76dd1480,is ISL,MF,Everton,29,1989,35,28,2560,28.4,2,3,1,1,1,3,0,0.07,0.11,0.18,0.04,0.14,4.2,3.4,4.1,7.5
